,raw,processed,label,Predict
2165,"Semalam aku mimpi teman² UKM dulu mampir ke rumah mau buat acara reuni. Sebenarnya aku as-was krn masih PPKM, tapi yaudah trobos aja. Acaranya di halaman rumah kaya nonton foto &amp; video, trz sebelumnya makan² di rooftop.",semalam saya mimpi teman ukm dulu mampir ke rumah mau buat acara reuni sebenarnya saya as was karena masih ppkm tapi ya sudah trobos saja acaranya di halaman rumah kayak menonton foto amp video trz sebelumnya makan di rooftop,1,1
251,info kalau mau ke surabaya dari gresik lewat osowilangon apakah ada pemeriksaan selama ppkm? @e100ss Terima kasih,informasi kalau mau ke surabaya dari gresik lewat osowilangon apakah ada pemeriksaan selama ppkm terima kasih,1,1
9249,@Lelaki_5unyi @pamungkas82 @BEM_SI Loh emangnya sumut ppkm juga?,loh memangnya sumut ppkm juga,1,1
3438,"Yg aneh lg, di daerah ku ada 2 jalur ke arah yg sama, yg satu lewat bawah yg satu lewat jembatan layang, jalur jembatan ini ditutup dgn alasan ppkm dan otomatis semua lewat bawah, bikin macet. Tlg lah itu buat yg ngide tutup jalan PLS DA AING GE MOAL NONGKRONG DI LUHUR JEMBATAN https://t.co/P9fDY5b9KP",yang aneh lagi di daerah ku ada jalur ke arah yang sama yang satu lewat bawah yang satu lewat jembatan layang jalur jembatan ini ditutup dengan alasan ppkm dan otomatis semua lewat bawah buat macet tolong lah itu buat yang ngide tutup jalan tolong lah saya ge moal nongkrong di luhur jembatan,0,0
5754,"@yskarr bismillah, mauuu buat nemenin selama ppkm biar ngga gabut wish me luck🥳🧡",bismillah mau buat nemenin selama ppkm supaya tidak bosan wish me luck,2,2
9368,"PPKM

Penata Pernikahan Kembali Misqueen

😫😩",ppkm penata pernikahan kembali miskin,0,0
3123,@VICE_ID Diam di rumah gak usah kemana-mana lagi PPKM Darurat,diam di rumah enggak perlu kemana mana lagi ppkm darurat,2,1
6341,"Ayo taati PPKM agar cepat berakhir dan ada kelonggaran.

#TetapProkesJanganKendor https://t.co/KdWmS3rDfC",ayo taati ppkm agar cepat berakhir dan ada kelonggaran,2,2
8938,"@SaveMoslem1 Gua simak dari atas. Sampai bawah ad yg bilang ini mau latihan, kalo ini mau latihan gak mungkin di saat pandemi mereka mau masuk indo dan posisi mereka sangat strategis untuk perang... tentara kita di mna di sekatan ppkm di PKL ap di mna",aku simak dari atas sampai bawah ada yang bilang ini mau latihan jika ini mau latihan enggak mungkin di saat pandemi mereka mau masuk indonesia dan posisi mereka sangat strategis untuk perang tentara kita di mana di sekatan ppkm di pkl apa di mana,0,0
3768,@rpxxx_1 gini amat ppkm https://t.co/Kbky1Fna7I,begini amat ppkm,0,0
7260,"Bulan depan kalo PPKM ganti nama, usul nama PPHP. Entah singkatan dari apa. Cuma ngusulin nama aja..",bulan depan jika ppkm ganti nama usul nama pphp tidak tahu singkatan dari apa cuma ngusulin nama saja,1,1
8200,"@CintaNirmala2 @L42454thie 17 agustus tiba tiba virus lenyap, PPKM tidak ada. Setelah 17 agustus PPKM lagi. Goblok yang di pertontonkan...

#2021HarusGantiPresiden 
#2021HarusGantiPresiden",agustus tiba tiba virus lenyap ppkm tidak ada setelah agustus ppkm lagi bodoh yang di pertontonkan,1,0
1937,@Hernanurf Dampak ppkm po,dampak ppkm po,1,1
4001,"Saran Senayan Kala PPKM Diperpanjang Percepat Beri Bantuan UMKM, Perluas Jangkauan Vaksinasi
#DPR #PPKMDarurat  #UMKM #PPKM #VaksinasiCovid19
https://t.co/oNeO4ifWK7",saran senayan kala ppkm diperpanjang percepat beri bantuan umkm perluas jangkauan vaksinasi,2,2
3405,"@NotFound_1945 @OposisiCerdas @PutriK3ncana Perusahaan saya bekerja, akhirnya dilakukan pemotongan gaji terhadap pegawai kontrak, karena tidak tahan efek PPKM, mungkin banyak sekali perusahaan lain melakukan hal yg sama, belum lagi yg diputus Kontrak karena perusahaan kolaps/bangkrut😔",perusahaan saya bekerja akhirnya dilakukan pemotongan gaji terhadap pegawai kontrak karena tidak tahan efek ppkm mungkin banyak sekali perusahaan lain melakukan hal yang sama belum lagi yang diputus kontrak karena perusahaan kolaps bangkrut,0,0
7182,@imaqueennz Uang 11 ribu T dikantong @jokowi,uang ribu dikantong,0,1
6618,"Ppkm level4 diperpanjang lagi ngga nih? Kok feeling gua bakal d perpanjang sampe tanggal 16 ya :( 
Dilanjut lagi gitu kemiskinan dan kesusahan kita nya :(",ppkm level diperpanjang lagi tidak ini kok feeling aku bakal perpanjang sampai tanggal iya dilanjut lagi begitu kemiskinan dan kesusahan kita nya,0,0
8653,"Janji ketegasan dan ancaman untuk menindak mereka yang melanggar PPKM, diuji.
Apa memang ancaman menindak yang melanggar &gt;&gt;&gt;&gt; siapapun yang melanggar, akan dilakukan?
Atau, hanya berhenti pada ancaman dan tanpa tindakan? https://t.co/hGud0hpRwr",janji ketegasan dan ancaman untuk menindak mereka yang melanggar ppkm diuji apa memang ancaman menindak yang melanggar begitu begitu begitu begitu siapapun yang melanggar akan dilakukan atau hanya berhenti pada ancaman dan tanpa tindakan,1,0
9757,@kenapakuhidup PPKM tuh nyusahin,ppkm itu menyusahkan,0,0
9121,selamat pagi gengs 3 hari lagi kelar ppkm darurat tp tetep gbs kmn kmn huahahaha 🙁,selamat pagi gengs hari lagi kelar ppkm darurat tapi tetap tidak bisa kemana kemana huahahaha,1,0
5217,@tuqyul Efek ppkm ya. Orang dagabg tutup lebih awal :”,efek ppkm iya orang dagabg tutup lebih awal,0,0
7598,@guvvmball @bertanyarl Ppkm euy ngapain keluar kalau ga penting,ppkm euy sedang apa keluar kalau tidak penting,0,1
2358,"Senin : Upacara, PPKM, Bahasa Indonesia, Matematika, Biologi",senin upacara ppkm bahasa indonesia matematika biologi,1,1
7018,"PPKM cuma buat WNI
Orang2 disini susah cari kerja, malah datang lagi 2x https://t.co/9821IsKi0u",ppkm cuma buat wni orang disini susah cari kerja bahkan datang lagi,0,0
1199,"Tuman,nanti klo nyai dh do icu baru ppkm di cabut..
Virusnya lg bergentayangan nyari nyai setan.. https://t.co/tkBuiqGINc",tuman nanti kalau nyai deh di icu baru ppkm di pergi virusnya lagi bergentayangan mencari nyai setan,0,0
7527,"tapi masih ppkm, gajian masih lama",tapi masih ppkm gajian masih lama,1,1
6084,@farahdjafar Kita hrus lbh kreatif menyiasati ppkm ini,kita harus lebih kreatif menyiasati ppkm ini,2,2
3107,@Sendal_39 @vettolcungkring Lagi PPKM 🤣,lagi ppkm,1,1
6451,"@elghozaliii Males ah, disitu sepi grgr ppkm:"")",malas ah disitu sepi gara-gara ppkm,0,1
8145,@_holahalowww Di Kwangya bebas PPKM meng 😎👍🏻✨,di kwangya bebas ppkm meng,1,1
6058,"@contactap2 Min apakah setelah selesai PPKM ini, persyaratan dalam melakukan penerbangan akan ada perubahan lagi ?? Misal tesnya bisa dengan hanya hasil tes swab antigen",min apakah setelah selesai ppkm ini persyaratan dalam melakukan penerbangan akan ada perubahan lagi misal tesnya bisa dengan hanya hasil tes swab antigen,1,1
5829,https://t.co/nt99FixssF jam 7an ada promo PPKM,jam an ada promo ppkm,1,1
3527,"PPKM tlg jgn diperpanjang dulu 3hri, ntar klo gw dah balek jkrta baru perpanjang lagi 🤧",ppkm tolong jangan diperpanjang dulu hari nanti kalau aku sudah balek jakarta baru perpanjang lagi,1,1
1631,"@makansushiaja pinginnya tiduran digaji, ppkm terus gpp kl itu",pinginnya tiduran digaji ppkm terus tidak apa-apa kalo itu,1,1
5903,"3000 org ngantri formulir vaksin dimalam hari.
Ppkm berasa dipekosa, hilang harga diri nya.
Hooooam, tidur lagi ah.",orang mengantri formulir vaksin dimalam hari ppkm berasa dipekosa hilang harga diri nya hoam tidur lagi ah,0,0
1616,@susipudjiastuti Kirain PPKM Pro,mengira ppkm profesional,1,1
7940,@convomf libur anjing dr awal ppkm,libur anjing dari awal ppkm,0,0
8380,"@Ace_BBH ditunggu aja, mungkin krn lgi ppkm makanya sedikit telat",ditunggu saja mungkin karena lagi ppkm makanya sedikit terlambat,0,1
3870,"@miftah_rizaq @Lucassurya @janedoeisliving Di saat PPKM ini. Dan harapaku setelah pandemi berakhir pengen bngt bisa cari kerja di luar kota, mencari pengalaman baru dan teman baru. Itu aja kakak-kakak. 
Stay safe and stay healthy all!",di saat ppkm ini dan harapaku setelah pandemi berakhir mau banget bisa cari kerja di luar kota mencari pengalaman baru dan teman baru itu saja kakak kakak tinggal safe dan tinggal healthy all,2,2
1253,"@tirta_hudhi @arifbsantoso Semoga ppkm tidak bersambung
CC @arifbsantoso https://t.co/UiKRSyNucv",semoga ppkm tidak bersambung cc,1,1
6578,@ydhiyadeh Ya kan ppkm Bu. Takutnya mau kesana ada penyekatan,iya kan ppkm bu takutnya mau kesana ada penyekatan,0,1
2303,"@bertanyarl ini si nder td aku krumah dia bawain martabak trs dia ngajak selfiee, abistu lsg pulang karna lgi ppkm juga kann https://t.co/9xqx877gen",ini sih brother tadi saya krumah dia bawain martabak terus dia mengajak selfiee abistu langsung pulang karena lagi ppkm juga kan,1,1
1355,@lacaswong ppkm aja diperpanjang masa hubungan kita ngga? WKWKWK,ppkm saja diperpanjang masa hubungan kita tidak wkwkwk,1,1
8282,@kemalpalevi @liputankerja Ya iyalah. Nggak kena dampak PPKM. Ya nggak sedih.,iya iyalah tidak kena dampak ppkm iya tidak sedih,1,0
2910,@KompasTV Kami habis beras pa..gimana boleh minta ke bapa..yg buat bekal sampai PPKM selesai,kami habis beras apa bagaimana boleh meminta ke bapa yang buat bekal sampai ppkm selesai,0,0
1112,PPKM (pelan-pelan kamu menjauh),ppkm pelan pelan kamu menjauh,1,1
4111,☁️ woy ak gbut ada yg mau dm an gk sie ntar kita berteman mengarungi ppkm level pedas mampus ini btw gue ava dasha taran trimss,woy aku gbut ada yang mau dm an gak sih nanti kita berteman mengarungi ppkm level pedas mampus ini ngomong-ngomong aku avatar dasha taran trim,0,1
1208,"@marlina_idha PPKM dicabut saja paksa rakyat harus patuh Prokes 
tidak nurut sakit ditanggung sendiri.",ppkm dicabut saja paksa rakyat harus patuh prokes tidak nurut sakit ditanggung sendiri,1,0
2002,@Dimasaw_co @Kayakuwek @Uki23 @aniesbaswedan @Metro_TV PPKM kebijakan dari mana???... itu aja jawab.. ntar bisa tau siapa yg lu bisa omelin..,ppkm kebijakan dari mana itu saja jawab nanti bisa tahu siapa yang kamu bisa omelin,0,0
9057,@txtdrbekasi Gmna ni pak? Jd ppkm gabole buka sama sekali? @mas_triadhianto,gimana ini pak jadi ppkm gabole buka sama sekali,1,0
6326,"@drpriono1 @jokowi Ganti kulit PSBB jadi PPKM: PSBb ada di UU karatina tapi UU nya nggak dipakai, mending ganti nama PPKM daripada kena class action. Why ? https://t.co/NoDLPT9cnv",ganti kulit psbb jadi ppkm psbb ada di uu karatina tapi uu nya tidak dipakai lebih baik ganti nama ppkm daripada kena cla action why,0,0
6920,"Ppkm diperpanjang nanti pas hut indonesia ga ada ppkm, habis itu diperpanjang lagi sampai vaksinanisasi selesai.",ppkm diperpanjang nanti pas hut indonesia tidak ada ppkm habis itu diperpanjang lagi sampai vaksinanisasi selesai,1,1
3290,"CORONA...
Conspirasi REKAYASA Dana..
Rakyat Nggak di Jamin Hidupnya.
Disuruh di Rumah Saja.
Nggak Boleh KERJA.
Di PHK.
Diberikan ...
PPKM...
Pedagang Pedagang Kembali MATI.
Pelan Pasti kami MATI.
Dasar KODOK DUNGU.
LO BONG.",corona conspirasi rekayasa dana rakyat tidak di jamin hidupnya disuruh di rumah saja tidak boleh kerja di phk diberikan ppkm pedagang pedagang kembali mati pelan pasti kami mati dasar kodok dungu kamu bong,0,0
4372,PPKM = Pelan-Pelan Kamu Menghilang,ppkm pelan pelan kamu menghilang,1,1
3578,"PPKM level 4 diperpanjang sampai 2 agustus, udah kayak boncabe pake level segala 👀",ppkm level diperpanjang sampai agustus sudah seperti boncabe pakai level segala,1,1
3077,"Yg betul ajalah masa ppkm mau diperpanjang 6minggu? Amboi amboi🥺 gabetah lah aku, bener2 ngga betah disini🥺",yang betul ajalah masa ppkm mau diperpanjang minggu amboi amboi gabetah lah saya benar tidak betah disini,0,0
1453,dalam bbrp hari aja daerahku udh naik level jd ppkm darurat :(,dalam beberapa hari saja daerahku udah naik level jadi ppkm darurat,0,1
1768,"Kalo dari data yg dipaparkan ini, masa sebelum PPKM, kasus nya malah hampir 0 (liat di idul fitri), ini ga ada pembatasan ""darurat"".

Tapi setelah ada solusi yg disebut PPKM, kasus malah tinggi. Tapi kata pak Gub sekarang udh menurun kok. Alhamdulillah.

Tapi kan... https://t.co/PM4vLm5xWQ",jika dari data yang dipaparkan ini masa sebelum ppkm kasus nya bahkan hampir lihat di idul fitri ini tidak ada pembatasan darurat tapi setelah ada solusi yang disebut ppkm kasus bahkan tinggi tapi kata pak gub sekarang udah menurun kok alhamdulillah tapi kan,0,1
9732,@richeeseaaah Lagi ppkm gabisa peluk pelukan,lagi ppkm tidak bisa peluk pelukan,0,0
6796,PPKM perpanjang chat kita ora https://t.co/r5q5NRGvr7,ppkm perpanjang chat kita tidak,1,1
2885,"Konon katanya PPKM akan diperjang, lah terus ga ada bantuan buat para pria yg jauh dr Istri yg ga bs balik rumah gitu? #uhuk",konon katanya ppkm akan diperjang lah terus tidak ada bantuan buat para pria yang jauh dari istri yang tidak bisa balik rumah begitu,0,0
3059,"@nndylann Ntar abis ppkm wkwk
Ditunggu aja",nanti habis ppkm wkwk ditunggu saja,1,1
8209,"@GresikFess dari jaman ppkm dah buka, nder. Cuma skrg harus pake ngeliatin bukti dah vaksin.",dari jaman ppkm sudah buka brother cuma sekarang harus pakai melihati bukti sudah vaksin,1,1
4549,"@LimaDasarr @pinkiniknip @txtdrpemerintah Ibarat keramaian itu buntut ular, dan pedagang adalah kepalanya
Kalo kita mau bunuh ular, ya harus potong kepalanya.

Ya gitu maksud mereka, gua gak membenarkan PPKM itu bagus untuk seluruh masyarakat.
Y emang pahit, gua sendiri pedagang makanan dan harus tutup, stress tentunya👍🏿",ibarat keramaian itu buntut ular dan pedagang adalah kepalanya jika kita mau bunuh ular iya harus potong kepalanya iya begitu maksud mereka aku enggak membenarkan ppkm itu bagus untuk seluruh masyarakat memang pahit aku sendiri pedagang makanan dan harus tutup stre tentunya,0,0
1718,@UB54254859 Klo gak ppkm kita renang yuk diresinda,kalau enggak ppkm kita renang yuk diresinda,1,1
9140,@Djoked2 @MardaniAliSera Umat Islam harus PPKM = Perbanyak Pergi Ke Masjid dengan protokol Kesehatan 6M Mendekat kepada yang Mengizinkan Covid19 varian Delta Mewabah di Indonesia.,umat islam harus ppkm perbanyak pergi ke masjid dengan protokol kesehatan mendekat kepada yang mengizinkan covid varian delta mewabah di indonesia,2,2
6072,"ya kalau faskes di sini udah selevel UK dan vaksinasi udah &gt;60% sih mau buka kegiatan segimana juga terserah.... 

ini tau dirilah pada... vaksin di daerah kadang sampai berminggu2 gak dapat suplai, faskes pun sangat minim, masih pada mau tolak PPKM juga? makin lama ini pandemi.",iya kalau faskes di sini sudah selevel uk dan vaksinasi sudah begitu sih mau buka kegiatan segimana juga terserah ini tahu dirilah pada vaksin di daerah kadang sampai berminggu enggak dapat suplai faskes pun sangat minim masih pada mau tolak ppkm juga makin lama ini pandemi,0,0
952,"@miyamacia ngga isoman cuma keluar rumah juga ga bisa kemana2 soalnya kan ppkm jalan pada di tutup toko pun tutup juga :""",tidak isoman cuma keluar rumah juga tidak bisa kemana soalnya kan ppkm jalan pada di tutup toko pun tutup juga,0,0
761,@tvOneNews Ppkm jgn menginjak ekonomi yg satu dan mengangkat ekonomi yg laen..klo tim satgas covid pnya keberanian tutup dong pt di kawaasan industri bekasi itu tempat kerumunan juga..jgn braninya ma usaha kecil doang..di tunggu keberaniannya para pejabat lawan pengusaha,ppkm jangan menginjak ekonomi yang satu dan mengangkat ekonomi yang lain kalau tim satgas covid punya keberanian tutup dong pt di kawaasan industri bekasi itu tempat kerumunan juga jangan braninya sama usaha kecil doang di tunggu keberaniannya para pejabat lawan pengusaha,0,0
2748,Hari ini mulai yang namanya ppkm darurat buat bkt yauda terserah,hari ini mulai yang namanya ppkm darurat buat bkt yauda terserah,0,1
7581,"Klo rumh gue dkt daerh stu gak perlu kyknya smpe nunggu ppkm kelar. Masalahnya jauh bgt di mampang :"")",kalau rumah aku dkt daerh satu enggak perlu kayaknya sampai menunggu ppkm kelar masalahnya jauh banget di mampang,1,1
5412,@PT_Transjakarta Padahal SE Kemenhub sudah tidak mewajibkan STRP. Sekarang juga masuk PPKM level 4 kan? Bukan lagi PPKM darurat https://t.co/NtboUlfOIy,padahal se kemenhub sudah tidak mewajibkan strp sekarang juga masuk ppkm level kan bukan lagi ppkm darurat,1,1
7235,"Adakah keadilan di negeri ini?
Lihat, apakah ada polisi yg menangkap yg menyebabkan adanya kerumunan ini?
Adakah pengadilan yg mengadili ini?
Sptnya aman2 sj, terlepas dari jerat hukum.
Bagaimana menurut @DivHumas_Polri ?
Kakau spt ini PPKM #cabe2an
 #PPKM 
#PPKMLevel4 https://t.co/jnRgBGX1N0",adakah keadilan di negeri ini lihat apakah ada polisi yang menangkap yang menyebabkan adanya kerumunan ini adakah pengadilan yang mengadili ini sptnya aman saja terlepas dari jerat hukum bagaimana menurut kalau seperti ini ppkm,0,0
5794,"Betul banget 👍
Keputusan pemerintah memperpanjang PPKM level 4 sudah tepat

Namun,Tentu nya Agar kebijakan ini efektif, masyarakat harus terus disiplin menjalankan protokol kesehatan yaa kan ??

Yok tetap taat Prokes Gaes..
#PPKMDemiPemulihanNKRI

https://t.co/KfBoDw7wU4",betul banget keputusan pemerintah memperpanjang ppkm level sudah tepat namun tentu nya agar kebijakan ini efektif masyarakat harus terus disiplin menjalankan protokol kesehatan ya kan yuk tetap taat prokes guys,2,2
3027,"@KAI121 selamat pagi, selama ppkm darurat penumpang KA jarak jauh wajib menunjukkan kartu vaksin covid-19, sementara ibu hamil kan tidak boleh vaksin apakah bisa menggunakan rapid antigen saja,  terimakasih..",selamat pagi selama ppkm darurat penumpang kakak jarak jauh wajib menunjukkan kartu vaksin covid sementara ibu hamil kan tidak boleh vaksin apakah bisa menggunakan rapid antigen saja terimakasih,1,1
9671,#PatuhProkesHargaMati &amp; bersama kita dukung perpanjangan PPKM Darurat Level 4 https://t.co/aTdKyMByaY,amp bersama kita dukung perpanjangan ppkm darurat level,2,2
6491,"Perpanjangan PPKM membuahkan hasil yg signifikan, berhasil menekan penyebaran virus varian baru ke masyarakat luas, Terimakasih untuk tenaga medis yg berjuang tanpa lelah
Semoga wabah ini segera berahir
#TetapWaspadaCovidMasihAda https://t.co/WbbcnLCRr5",perpanjangan ppkm membuahkan hasil yang signifikan berhasil menekan penyebaran virus varian baru ke masyarakat luas terimakasih untuk tenaga medis yang berjuang tanpa lelah semoga wabah ini segera berahir,2,2
799,"@mimiekirana1708 @katadalamspasi Ppkm, pernah perhatian kemudian menghilang",ppkm pernah perhatian kemudian menghilang,1,1
3133,"@oreologiyy @vienbast @AREAJULID Yaps bener. Keadilan nya gak ada. Karna dia anak dan menantu orang terpandang di indonesia jadi mau ke ujung dunia pun gak akan di tangkap meskipun lagi ppkm. Coba kalo masyarakat kek kita, keluar dikit aja di jalan lgsg di razia polisi pas lagi ppkm gini.",yaps benar keadilan nya enggak ada karena dia anak dan menantu orang terpandang di indonesia jadi mau ke akhirnya dunia pun enggak akan di tangkap meskipun lagi ppkm coba jika masyarakat kayak kita keluar dikit saja di jalan langsung di razia polisi pas lagi ppkm begini,0,0
1513,"@yoodiest gapapa lagi ppkm juga, happy ied adha ya🥰",gapapa lagi ppkm juga bahagia ied adha iya,2,2
4899,"@bertanyarl kasihan hotel nya udah terdampak ppkm, masih kena denda gara gara ginian",kasihan hotel nya sudah terdampak ppkm masih kena denda gara gara beginian,0,0
4826,"@afrkml Saya swab antigen ada 10 kali, psbb mostly ke jkt. Ppkm aja betahan wfh, vaksin full done. Pernah 1 hari menggigil luar biasa di hajar habbtussauda+madu+kelor. Besok enggak lagi. Itu sih 1 hari itu aja yg sangat keingat bgt. Istri anak udh c19, saya jd anak kosan deh",saya swab antigen ada kali psbb mostly ke jakarta ppkm saja betahan wfh vaksin full done pernah hari menggigil luar biasa di hajar habbtu auda madu kelor besok tidak lagi itu sih hari itu saja yang sangat keingat banget istri anak udah saya jadi anak kosan deh,1,1
4060,@halleluhellyeah Jaman covid gini ga semua orang yg nganggur itu pemalasa tapi emang susah cari kerjaan apalagi PPKM skr yg levelnya udah kaya makan cabe..so kalo mau ngomong mikir pake otak jangan pake dengkul mbak eh salah mas,jaman covid begini tidak semua orang yang tidak punya pekerjaan itu pemalasa tapi memang susah cari pekerjaan apalagi ppkm sekarang yang levelnya sudah kayak makan cabe sok jika mau bicara mikir pakai otak jangan pakai dengkul mbak eh salah mas,0,0
4823,@PutriTu91877444 Ketemuan deh nanti kalo PPKM sudah longgar 👍,ketemuan deh nanti jika ppkm sudah longgar,1,1
8749,@susipudjiastuti bu dampak dari ppkm saya yang bekerja di parawisata tidak ada pemasukan sama sekali🥺,bu dampak dari ppkm saya yang bekerja di parawisata tidak ada pemasukan sama sekali,0,0
311,"PPKM sebuah sikap ""aman"" yang diambil pemerintah karena ""sudah terlanjur"" salah memilih jalan. Dari awal, dari kasus masih sedikit, pemerintah tidak tegas dalam penanganan pandemi, masyarakat jd bingung harus ngikutin siapa",ppkm sebuah sikap aman yang diambil pemerintah karena sudah terlanjur salah memilih jalan dari awal dari kasus masih sedikit pemerintah tidak tegas dalam penanganan pandemi masyarakat jadi bingung harus mengikuti siapa,0,0
6296,Melihat situasi dan kondisi rakyat yang ter PPKM kok ada juga ya yang rksen di baliho padahal dia orang no satu di DPR wah jian gk pantas blas,melihat situasi dan kondisi rakyat yang ter ppkm kok ada juga iya yang rksen di baliho padahal dia orang no satu di dewan perwakilan rakyat wah jian gak pantas sama sekali,0,0
7660,@forgyet ppkm bodor,ppkm lucu,0,1
5799,"Aturan PPKM Level 4 hingga 9 Agustus.

Yg patuh ya sobat semua, 
#PPKMDemiPemulihanNKRI  🇮🇩 https://t.co/X39F0z1LxJ",aturan ppkm level hingga agustus yang patuh iya sobat semua,2,2
3502,"sudahi bandel mu, liat mamak mu ngejerit gara gara ppkm",sudahi bandel mu lihat mamak mu ngejerit gara gara ppkm,0,0
3745,PPKM: Pagi-pagi Kami Memasak... #level4,ppkm pagi pagi kami memasak,1,1
6896,"@IvoneHall @MeliaAgustin_ Tangsel.
Lagi merasakan over time PPKM yg entah sampai kapan berakhirnya. 
Semoga diseduh tiap hari kopinya dan saat habis kopinya berakhir pula PPKM nya.",tangsel lagi merasakan over time ppkm yang tidak tahu sampai kapan berakhirnya semoga diseduh tiap hari kopinya dan saat habis kopinya berakhir pula ppkm nya,1,1
1498,"Lebaran taun ini dan taun kemarin ya d rumah aja, ga bole keluar PPKM. 
Stay healthy. Happy ied Adha olllllll✨",lebaran tahun ini dan tahun kemarin iya rumah saja tidak boleh keluar ppkm tinggal healthy bahagia ied adha online,2,2
3,"Pangkal penanganan pandemi #covid19 di Indonesia yang terkesan semrawut itu adalah kekurangtegasan dalam penerapan prokes, PSBB dan PPKM baik mikro maupun #PPKMDarurat , contoh kemarin di Sidoarjo adain vaksin tapi menimbulkan kerumuman hebat. Podo ae wkwk",pangkal penanganan pandemi di indonesia yang terkesan semrawut itu adalah kekurangtegasan dalam penerapan prokes psbb dan ppkm baik mikro maupun contoh kemarin di sidoarjo mengadakan vaksin tapi menimbulkan kerumuman hebat podo saja wkwk,0,0
5756,Ppkm oh ppkmmmmm🥲,ppkm oh ppkm,1,1
673,nunggu ppkm kelar lama bgt rasanya 🥲,menunggu ppkm kelar lama banget rasanya,0,0
4923,@ganjarpranowo Jadi kangen pulang kampung semoga aja cepet berlalu ppkm biar bisa nengok mbah di kampung,jadi kangen pulang kampung semoga saja cepat berlalu ppkm supaya bisa menengok mbah di kampung,1,1
7864,@studiechain PPKM masih bisa gofood :),ppkm masih bisa gofood,1,1
4861,"@overearcting Emak gue gamau kenalan, katanya ppkm.",emak aku gak mau kenalan katanya ppkm,1,1
6816,@imdepan Gabisa ditutup soalnya ppkm,tidak bisa ditutup soalnya ppkm,1,0
7688,@po_honhijau Selesai ppkm,selesai ppkm,1,1
7328,@ForzaJuveEN @DiMarzio Kaya PPKM di ulur terus 👍,kayak ppkm di ulur terus,1,1
2067,"Alhamdulillah, aplikasi mobile JKN menjadi solusi di tengah PPKM darurat ini. Perlu bantuan dokter atau yang lainnya bisa lewat online bahkan bayar iuran BPJS Kesehatan pun bisa
https://t.co/iUE2VW1bC6

#BPJSKesehatan
#BPJSMelayani #GotongRoyongSemuaTertolong #JKNHadirUntukRakyat https://t.co/zuBwVX8d43",alhamdulillah aplikasi mobile jkn menjadi solusi di tengah ppkm darurat ini perlu bantuan dokter atau yang lainnya bisa lewat onlen bahkan bayar iuran bpjs kesehatan pun bisa,2,2
6909,Kasihan atuh pak PPKM jangan diperpanjang. Nanti mantan aku nikah ga ada jedag jedugnya ga asik.,kasihan kalau begitu pak ppkm jangan diperpanjang nanti mantan saya nikah tidak ada jedag jedugnya tidak asik,0,0
3381,PPKM = Pelan Pelan Kamu Menghilang,ppkm pelan pelan kamu menghilang,1,1
7403,"Masih ppkm ya?
Tetep masih bertahan hidup nih!",masih ppkm iya tetap masih bertahan hidup ini,1,1
4872,"@LindaRusdiana tutup semua ndah sampe dipagerin, buka lg awal agustus kelar ppkm ☹️",tutup semua ndah sampai dipagerin buka lagi awal agustus kelar ppkm,0,0
543,"@BangBrew95 PPKM
Pernah Percaya Kemudian Mengkhianati",ppkm pernah percaya kemudian mengkhianati,1,1
6250,"efek ppkm ni ner bener ya, kofisyop temen w sampek tutup dong padahal pelanggannya tu terhitung banyak",efek ppkm ini ner benar iya kofisyop teman sampai tutup dong padahal pelanggannya itu terhitung banyak,0,0
4484,"@ChoneeyLm Aamiin mksh supportnya say
Oya buku dr kamis sdh kirim dr penerbit Bandung mngkn krn ppkm jd lambat pengiriman🙏😊",amin terima kasih supportnya sayang oya buku dari kamis sudah kirim dari penerbit bandung mungkin karena ppkm jadi lambat pengiriman,0,0
135,"/kle PPKM hari kedua sudah banyak yg menawarkan catering siap antar biar tidak keluar rumah, tapi satupun belum ada yg menawarkan cara mendapatkan uang tanpa keluar rumah.",kle ppkm hari kedua sudah banyak yang menawarkan catering siap antar supaya tidak keluar rumah tapi satupun belum ada yang menawarkan cara mendapatkan uang tanpa keluar rumah,0,1
5146,"@tq3illl tpi jujur ya, ak org jogja keluar jam 10 tu seserem itu. sepi nyet nyet, marai rrrr.
apalagi pas ppkm ini, kabeh lampu mati, peteng dedet 😭",tapi jujur iya aku orang jogja keluar jam itu seserem itu sepi monyet monyet marai apalagi pas ppkm ini kabeh lampu mati peteng dedet,0,0
6690,PPKM diperpanjang jadi PPKMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,ppkm diperpanjang jadi ppkm,1,1
6919,"Ya sbnrnya lumayan diringankan dgn adanya kebijakan boleh dine in. Tp agak eneg nya ppkm tuh bukan masalah nongkrongnya sih, tapi akses jalan yg ditutup",iya sebenarnya lumayan diringankan dengan adanya kebijakan boleh dine ini tapi agak eneg nya ppkm itu bukan masalah nongkrongnya sih tapi akses jalan yang ditutup,0,0
9626,Ppkm? Bulan ini aki udh lembur 36 jam ternyata 😂 yg penting ga burnout aja,ppkm bulan ini aki udah lembur jam ternyata yang penting tidak burnout saja,1,1
